Hostname,IP Address,Status
CA-SMS-FW-TESTBED01.togocom.tg,10.228.15.100; 10.228.27.75,Resolved
CA-PRP-WSAPIG01.ws.togocom.tg,10.228.15.100; 10.228.19.26,Resolved
CA-BASTION-APACHE-02.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-DR-WSPGSQL01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-UAT-WSMINT02.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-ECHANGE-POS-X3-DB.TOGOCOM.INT,10.228.15.100; 10.228.14.65,Resolved
ca-prd-cms-webdb-01.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-BSSOSS-APP-02.togocom.tg,10.228.15.100; 10.228.12.28,Resolved
lo-archivelog01.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRD-UMENG24.MOMO.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
lo-cms-test-01.togocom.tg,10.228.15.100; 10.228.30.200,Resolved
CA-PRD-REIS-ELASTICSEARCH.yas.tg,10.228.15.100; 10.228.10.101,Resolved
CA-ACS-AVSYSTEM.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-wifi-portailcaptif.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRD01-DBBILL.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-cms-ccs-05.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMDBO001-TEST-03.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
LAB-PGSQL02.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-prd-umeng05.momo.togocom.tg,10.228.15.100; 10.228.10.206,Resolved
nperf-kara.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-PRD-PI-BCEAO-02.yas.tg,10.228.15.100; 10.228.11.131,Resolved
cbdb-datanode03.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-ATOLL-DB.yas.tg,10.228.15.100; 10.228.32.27,Resolved
LAB-PGW.yas.tg,10.228.15.100; 192.168.20.118,Resolved
CA-PRD-CORP-MS1.mixx.tg,10.228.15.100; 10.228.12.82,Resolved
CA-MSA-MONITORING.togocom.tg,10.228.15.100; 10.228.12.49,Resolved
LO-SIMU-DMS-OTA02.TOGOCOM.TG,10.228.15.100; 10.228.11.126,Resolved
LO-PRP-REIS-ELASTICSEARCH.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMWEB1.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
LO-UAT-WSMINT01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-DRIVE-TEST.togocom.tg,10.228.15.100; 10.228.32.24,Resolved
LO-DR-WSAPIG01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-SHR-WSCICD01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-DEV-KUBE-WORKER-NODE-02.togocom.tg,Not found or domain doesn't exist,Not Resolved
WORKER1-NODE.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRP-KUBE-WORKER-NODE-01.yas.tg,Not found or domain doesn't exist,Not Resolved
srvvas4.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-SENT-APP02.togocom.tg,10.228.15.100; 10.228.12.66,Resolved
LO-PRP-UMWEB002.yas.tg,Not found or domain doesn't exist,Not Resolved
lo-uat-momo-app.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-DR-WSAPIG03.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-WSAPIM01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-dim-app02.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
ip.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-EDR-FIREEYE.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-SUPER-MS-03.togocom.tg,10.228.15.100; 10.228.12.42,Resolved
